]0;mongosh mongodb://127.0.0.1:27017/dba_proyectofinal?directConnection=true&serverSelectionTimeoutMS=2000codigo_municipio,fuente,total_edificios,area_total_m2,area_total_ha
19450,Google,11486,812209.62,81.22
19821,Google,11452,701579.07,70.16
05790,Google,11438,739187.51,73.92
95025,Google,11332,832653.35,83.27
05895,Google,11188,662658.58,66.27
13744,Google,11018,762889.08,76.29
05893,Google,10688,804300.30,80.43
54800,Google,10550,801234.11,80.12
19212,Google,10517,811740.89,81.17
70473,Google,10452,596663.30,59.67
19455,Google,10353,1090648.45,109.06
13212,Google,10271,615978.64,61.60
50350,Google,9900,952057.28,95.21
54250,Google,9826,716935.88,71.69
18410,Google,9501,835583.30,83.56
50590,Google,9324,675646.80,67.56
18247,Google,9151,1062268.65,106.23
05361,Google,9063,567061.38,56.71
54245,Google,8903,613144.57,61.31
70523,Google,8899,453014.12,45.30
20001,Google,8613,554026.81,55.40
86571,Google,8326,625976.08,62.60
86569,Google,7768,619917.57,61.99
54670,Google,7736,489361.07,48.94
05234,Google,7696,457368.27,45.74
05040,Google,7652,446870.77,44.69
52540,Google,7628,454326.63,45.43
52256,Google,7594,404417.89,40.44
73555,Google,7276,485103.00,48.51
52418,Google,7184,374707.63,37.47
13042,Google,7022,448415.93,44.84
50325,Google,6776,463480.55,46.35
27361,Google,6766,603481.16,60.35
54344,Google,6756,447887.18,44.79
50577,Google,6595,518915.55,51.89
19364,Google,6514,372488.99,37.25
19318,Google,6403,481261.41,48.13
27006,Google,6395,420315.82,42.03
05854,Google,6329,397935.53,39.79
18256,Google,6283,663123.91,66.31
70204,Google,6278,366650.31,36.67
52079,Google,6234,403639.00,40.36
52405,Google,6096,353010.20,35.30
13894,Google,6080,402861.63,40.29
19809,Google,5938,404619.37,40.46
50450,Google,5859,422936.95,42.29
50330,Google,5795,482877.95,48.29
95015,Google,5708,469898.26,46.99
18756,Google,5708,518675.49,51.87
05480,Google,5537,424424.30,42.44
27800,Google,5418,410660.63,41.07
73067,Google,5354,396354.03,39.64
52233,Google,5350,319694.23,31.97
18094,Google,5328,515530.21,51.55
18610,Google,5240,472409.06,47.24
52250,Google,5210,330462.87,33.05
13248,Google,4923,337431.02,33.74
18860,Google,4922,483540.53,48.35
13160,Google,4822,306542.11,30.65
23682,Google,4028,246336.60,24.63
18205,Google,3856,356903.74,35.69
95200,Google,3670,286926.58,28.69
18460,Google,3630,327167.48,32.72
50370,Google,3567,265870.34,26.59
05107,Google,3565,188940.72,18.89
05495,Google,3492,210051.44,21.01
70230,Google,3144,188358.79,18.84
27615,Google,3091,179625.65,17.96
18029,Google,3012,296897.54,29.69
18785,Google,2992,276078.90,27.61
05031,Google,2983,167703.24,16.77
86573,Google,2898,196472.35,19.65
52427,Google,2548,210684.56,21.07
18479,Google,2402,247268.23,24.73
20621,Google,2357,148769.79,14.88
52390,Google,2009,141415.00,14.14
52696,Google,1505,94538.73,9.45
20750,Google,1433,89896.75,8.99
73616,Google,1329,92735.45,9.27
52490,Google,1208,65501.48,6.55
52520,Google,656,37302.46,3.73
52473,Google,597,35768.35,3.58
52621,Google,364,21871.09,2.19
27425,Google,313,17540.85,1.75
27250,Google,309,34230.10,3.42
27205,Google,239,16244.74,1.62
52612,Google,196,9721.62,0.97
27150,Google,31,1023.86,0.10
19418,Google,24,928.05,0.09
27745,Google,1,8.88,0.00
47001,Microsoft,59483,12343458.67,1234.35
20001,Microsoft,36348,8177331.32,817.73
52835,Microsoft,36190,4041709.00,404.17
05837,Microsoft,30522,3398441.53,339.84
76109,Microsoft,28401,6636079.18,663.61
19256,Microsoft,24326,2020012.04,202.00
54810,Microsoft,23068,2265451.10,226.55
19698,Microsoft,22796,3203747.40,320.37
47189,Microsoft,21281,2861003.08,286.10
23807,Microsoft,20569,1939252.22,193.93
81065,Microsoft,20148,2313794.92,231.38
18001,Microsoft,19867,5334920.12,533.49
86568,Microsoft,17450,2424289.50,242.43
19130,Microsoft,16949,1522708.83,152.27
81794,Microsoft,15939,2288016.32,228.80
95001,Microsoft,15710,2031031.24,203.10
13244,Microsoft,15489,1342897.09,134.29
18753,Microsoft,14737,2312587.92,231.26
23466,Microsoft,13786,1890772.19,189.08
73168,Microsoft,13021,1686516.38,168.65
05490,Microsoft,12879,1077833.36,107.78
86320,Microsoft,12747,1351098.93,135.11
44650,Microsoft,12482,1456945.14,145.69
19473,Microsoft,12367,1066805.88,106.68
81736,Microsoft,12000,2406407.51,240.64
47288,Microsoft,11800,1747150.93,174.72
20013,Microsoft,11637,1256991.84,125.70
44279,Microsoft,11441,1309289.88,130.93
86865,Microsoft,10559,1064732.53,106.47
18150,Microsoft,10414,1396066.09,139.61
23580,Microsoft,10263,912420.10,91.24
05154,Microsoft,10208,1539657.14,153.97
23855,Microsoft,10137,908873.89,90.89
50350,Microsoft,9984,1365457.00,136.55
05665,Microsoft,9947,1011082.70,101.11
19548,Microsoft,9888,1206131.72,120.61
19137,Microsoft,9648,909473.18,90.95
13442,Microsoft,9575,853687.61,85.37
18592,Microsoft,9544,1385288.64,138.53
70713,Microsoft,9506,833506.69,83.35
05045,Microsoft,9477,1782627.56,178.26
19532,Microsoft,9354,1077070.38,107.71
13657,Microsoft,9126,986889.91,98.69
20400,Microsoft,9003,931455.51,93.15
19110,Microsoft,8897,833168.51,83.32
13688,Microsoft,8841,1024537.05,102.45
86571,Microsoft,8809,850839.19,85.08
19050,Microsoft,8465,832168.59,83.22
50711,Microsoft,8422,886011.22,88.60
05604,Microsoft,8345,823200.44,82.32
47053,Microsoft,8283,961604.44,96.16
81300,Microsoft,8209,945022.50,94.50
54720,Microsoft,7947,831300.48,83.13
73555,Microsoft,7805,660996.15,66.10
44090,Microsoft,7694,687300.53,68.73
19075,Microsoft,7646,777215.51,77.72
19821,Microsoft,7617,638084.84,63.81
86885,Microsoft,7527,869014.89,86.90
05736,Microsoft,7428,811436.88,81.14
54250,Microsoft,7410,761770.02,76.18
70508,Microsoft,7398,642605.81,64.26
19142,Microsoft,7357,986430.94,98.64
19780,Microsoft,7279,602567.15,60.26
05250,Microsoft,7134,664030.89,66.40
05172,Microsoft,7078,1490700.00,149.07
05147,Microsoft,7039,996405.71,99.64
54800,Microsoft,7014,718415.27,71.84
73067,Microsoft,6804,654134.21,65.41
05120,Microsoft,6762,607332.55,60.73
13670,Microsoft,6757,809803.16,80.98
76275,Microsoft,6743,1030373.76,103.04
27615,Microsoft,6636,578021.11,57.80
19212,Microsoft,6628,748279.82,74.83
54206,Microsoft,6567,697005.80,69.70
05790,Microsoft,6530,669826.53,66.98
13654,Microsoft,6453,550649.71,55.06
18410,Microsoft,6334,751266.26,75.13
86001,Microsoft,6244,735286.45,73.53
05895,Microsoft,6196,532133.70,53.21
86757,Microsoft,6118,574342.52,57.43
41020,Microsoft,6106,708793.12,70.88
20621,Microsoft,6019,677827.20,67.78
19450,Microsoft,5974,677688.34,67.77
73616,Microsoft,5880,488760.98,48.88
76563,Microsoft,5813,1104967.28,110.50
05361,Microsoft,5776,533281.18,53.33
50330,Microsoft,5619,668650.10,66.87
70418,Microsoft,5605,514376.20,51.44
